PageID,PageName,Slug,Locale,Archetype,PrimaryKeyword,SecondaryKeywords,SemanticKeywords,AEOQuery,BrandedKeyword,SearchIntent,TargetLanguage,CanonicalURL,SuggestedInternalLinks,KeywordSource
wap_en,Intensive Ayurveda Training (WAP),en/courses/intensive-ayurveda-training,en,Course,intensive ayurveda training,"ayurveda training for spa therapists, ayurveda therapist training in india","learn abhyanga massage, learn shirodhara therapy, hands-on panchakarma training",What is the 5-day Intensive Ayurveda Training at Kairali Guru?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/intensive-ayurveda-training,"/en/courses, /en/contact",SEMrush / supplied research
wap_de,Intensive Ayurveda Training (WAP),de/courses/intensive-ayurveda-training,de,Course,intensive ayurveda training,"Ayurveda Ausbildung für Spa-Therapeuten, Ayurveda Masseur Ausbildung","Abhyanga Massage lernen, Shirodhara Ausbildung Indien",Was ist die 5-tägige intensive Ayurveda-Ausbildung bei Kairali Guru?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/intensive-ayurveda-training,"/de/courses, /de/contact",SEMrush / supplied research
wap_fr,Intensive Ayurveda Training (WAP),fr/courses/intensive-ayurveda-training,fr,Course,intensive ayurveda training,"formation ayurveda pour spa, apprendre les massages ayurvédiques","formation abhyanga et shirodhara, stage intensif ayurveda",En quoi consiste la formation intensive d'Ayurveda de 5 jours chez Kairali Guru ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/intensive-ayurveda-training,"/fr/courses, /fr/contact",SEMrush / supplied research
wap_ar,Intensive Ayurveda Training (WAP),ar/courses/intensive-ayurveda-training,ar,Course,intensive ayurveda training,"تدريب الأيورفيدا لأخصائيي السبا, تدريب معالجي الأيورفيدا في الهند","تعلم مساج أبهيانغا, علاج شيرودارا العملي",ما هي دورة الأيورفيدا المكثفة من 5 أيام في كايرالي غورو؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/intensive-ayurveda-training,"/ar/courses, /ar/contact",SEMrush / supplied research
wap_ru,Intensive Ayurveda Training (WAP),ru/courses/intensive-ayurveda-training,ru,Course,intensive ayurveda training,"аюрведа обучение для спа-терапевтов, обучение аюрведическому массажу в Индии","массаж абхьянга обучение, процедура широдхара на практике",Что представляет собой 5-дневный интенсивный курс Аюрведы?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/intensive-ayurveda-training,"/ru/courses, /ru/contact",SEMrush / supplied research
aatp_en,Level-One Advanced Ayurveda Training (AATP-1),en/courses/level-one-advanced-ayurveda-training,en,Course,ayurveda therapist training,"ayurveda training for wellness professionals, ayurveda therapist training in india","advanced ayurveda certification, supervise therapeutic massage, kerala ayurveda residency",What is the Level-One Advanced Ayurveda Training at Kairali Guru?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/level-one-advanced-ayurveda-training,"/en/courses, /en/contact",SEMrush / supplied research
aatp_de,Level-One Advanced Ayurveda Training (AATP-1),de/courses/level-one-advanced-ayurveda-training,de,Course,ayurveda therapist training,"Ayurveda Fortbildung für Therapeuten, Ayurveda-Therapeut Ausbildung Indien","Wellness Ayurveda Ausbildung, Ayurveda Pulsdiagnose Grundlagen",Was ist das Level-One Advanced Ayurveda Training für Therapeuten?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/level-one-advanced-ayurveda-training,"/de/courses, /de/contact",SEMrush / supplied research
aatp_fr,Level-One Advanced Ayurveda Training (AATP-1),fr/courses/level-one-advanced-ayurveda-training,fr,Course,ayurveda therapist training,"formation ayurveda professionnels bien-être, praticien ayurveda certifié","pratique clinique ayurveda, consultation ayurvédique apprentissage",Qu'est-ce que la formation avancée de Niveau 1 pour professionnels ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/level-one-advanced-ayurveda-training,"/fr/courses, /fr/contact",SEMrush / supplied research
aatp_ar,Level-One Advanced Ayurveda Training (AATP-1),ar/courses/level-one-advanced-ayurveda-training,ar,Course,ayurveda therapist training,"دورة الأيورفيدا لأخصائيي العافية, تدريب معالجي الأيورفيدا في الهند","شهادة متقدمة في الأيورفيدا, التدريب العملي على علاجات كيرالا",ما هي دورة الأيورفيدا للمستوى الأول لأخصائيي العافية؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/level-one-advanced-ayurveda-training,"/ar/courses, /ar/contact",SEMrush / supplied research
aatp_ru,Level-One Advanced Ayurveda Training (AATP-1),ru/courses/level-one-advanced-ayurveda-training,ru,Course,ayurveda therapist training,"курс аюрведы для велнес специалистов, обучение на аюрведа терапевта","продвинутый курс аюрведического массажа, клиническая практика в лечебной деревне",Что представляет собой продвинутый курс Аюрведы Уровня 1?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/level-one-advanced-ayurveda-training,"/ru/courses, /ru/contact",SEMrush / supplied research
aalct_en,Advanced Lifestyle Consultant & Therapist (AALCT),en/courses/advanced-lifestyle-consultant-therapist-training,en,Course,advanced ayurveda therapist training kerala,"ayurveda lifestyle consultant, therapist training in india","ayurvedic practitioner certification, constitution analysis training, manage lifestyle disorders with ayurveda",What is the 20-day Advanced Lifestyle Consultant & Therapist Training?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/advanced-lifestyle-consultant-therapist-training,"/en/courses, /en/contact",SEMrush / supplied research
aalct_de,Advanced Lifestyle Consultant & Therapist (AALCT),de/courses/advanced-lifestyle-consultant-therapist-training,de,Course,advanced ayurveda therapist training kerala,"Ayurveda Lifestyle Berater Ausbildung, Ayurveda Therapeut Ausbildung Indien","Prakriti Analyse lernen, Therapie von Zivilisationskrankheiten",Was ist die 20-tägige Ausbildung zum Lifestyle-Berater & Therapeuten?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/advanced-lifestyle-consultant-therapist-training,"/de/courses, /de/contact",SEMrush / supplied research
aalct_fr,Advanced Lifestyle Consultant & Therapist (AALCT),fr/courses/advanced-lifestyle-consultant-therapist-training,fr,Course,advanced ayurveda therapist training kerala,"formation thérapeute & consultant ayurvédique, praticien ayurveda clinique","analyse constitutionnelle Prakriti, traitement des troubles du mode de vie",En quoi consiste la certification de Thérapeute et Consultant Ayurvédique ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/advanced-lifestyle-consultant-therapist-training,"/fr/courses, /fr/contact",SEMrush / supplied research
aalct_ar,Advanced Lifestyle Consultant & Therapist (AALCT),ar/courses/advanced-lifestyle-consultant-therapist-training,ar,Course,advanced ayurveda therapist training kerala,"دورة الاستشاري والمعالج الأيورفيدي, تدريب المعالجين في الهند","شهادة ممارس الأيورفيدا الكاملة, علاج تسعة أنواع مختلفة من اضطرابات الحياة",ما هي دورة الاستشاري والمعالج الأيورفيدي المتقدمة لمدة 20 يومًا؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/advanced-lifestyle-consultant-therapist-training,"/ar/courses, /ar/contact",SEMrush / supplied research
aalct_ru,Advanced Lifestyle Consultant & Therapist (AALCT),ru/courses/advanced-lifestyle-consultant-therapist-training,ru,Course,advanced ayurveda therapist training kerala,"курс аюрведического терапевта и консультанта, обучение аюрведической медицине Индия","определение врожденной конституции пракрити, лечение хронических заболеваний аюрведой",Что включает 20-дневный курс консультанта и терапевта по Аюрведе?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/advanced-lifestyle-consultant-therapist-training,"/ru/courses, /ru/contact",SEMrush / supplied research
yoga_en,Yoga Teacher Training,en/courses/yoga-teacher-training,en,Course,yoga teacher training,"international yoga teacher certification, yoga and ayurveda course","residential yoga school kerala, meditation and pranayama course, vedic philosophy studies",What is included in Kairali's Yoga Teacher Training course?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/yoga-teacher-training,"/en/courses, /en/contact",SEMrush / supplied research
yoga_de,Yoga Teacher Training,de/courses/yoga-teacher-training,de,Course,yoga teacher training,"Yogalehrer Ausbildung Indien, Yoga und Ayurveda Ausbildung","Yoga Alliance zertifiziert Indien, Meditation lernen Kerala",Was ist in der Yogalehrer-Ausbildung bei Kairali Guru enthalten?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/yoga-teacher-training,"/de/courses, /de/contact",SEMrush / supplied research
yoga_fr,Yoga Teacher Training,fr/courses/yoga-teacher-training,fr,Course,yoga teacher training,"devenir professeur de yoga en Inde, formation yoga et ayurveda","école de yoga en résidence kerala, pranayama et méditation",Quel est le programme de la formation de professeur de yoga ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/yoga-teacher-training,"/fr/courses, /fr/contact",SEMrush / supplied research
yoga_ar,Yoga Teacher Training,ar/courses/yoga-teacher-training,ar,Course,yoga teacher training,"شهادة معلم يوغا دولية, دورة اليوغا والأيورفيدا","مدرسة يوغا سكنية كيرالا, تعلم التأمل والبراناياما",ما الذي تشمله دورة إعداد معلمي اليوغا في كيرالا؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/yoga-teacher-training,"/ar/courses, /ar/contact",SEMrush / supplied research
yoga_ru,Yoga Teacher Training,ru/courses/yoga-teacher-training,ru,Course,yoga teacher training,"обучение на преподавателя йоги в Индии, йога и аюрведа курс","резиденция йоги в керале, практика медитации и дыхания",Что входит в курс подготовки преподавателей йоги в Керале?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/yoga-teacher-training,"/ru/courses, /ru/contact",SEMrush / supplied research
panchakarma_therapist_en,Panchakarma Therapist Training,en/courses/panchakarma-therapist-training,en,Course,panchakarma therapist training,"panchakarma course, panchakarma training in kerala","ayurvedic detox therapy training, shirodhara and abhyanga practice, kairali institute certification",What is Panchakarma therapist training?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/panchakarma-therapist-training,"/en/courses, /en/contact",SEMrush / supplied research
panchakarma_therapist_de,Panchakarma Therapist Training,de/courses/panchakarma-therapist-training,de,Course,panchakarma therapist training,"Panchakarma Ausbildung, Panchakarma-Ausbildung in Kerala","Entgiftungstherapien lernen Indien, Shirodhara & Massage Praxis",Was ist die Panchakarma-Therapeuten-Ausbildung bei Kairali Guru?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/panchakarma-therapist-training,"/de/courses, /de/contact",SEMrush / supplied research
panchakarma_therapist_fr,Panchakarma Therapist Training,fr/courses/panchakarma-therapist-training,fr,Course,panchakarma therapist training,"formation panchakarma, cure de purification ayurveda","massage et detox ayurveda, apprendre le panchakarma clinique",En quoi consiste la formation de thérapeute Panchakarma ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/panchakarma-therapist-training,"/fr/courses, /fr/contact",SEMrush / supplied research
panchakarma_therapist_ar,Panchakarma Therapist Training,ar/courses/panchakarma-therapist-training,ar,Course,panchakarma therapist training,"دورة بانشاكارما, دورة بانشاكارما في كيرالا","تدريب علاجات ديتوكس الأيورفيدا, ممارسة الشيرودارا والأبهيانغا",ما هو تدريب معالج البانتشاكارما؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/panchakarma-therapist-training,"/ar/courses, /ar/contact",SEMrush / supplied research
panchakarma_therapist_ru,Panchakarma Therapist Training,ru/courses/panchakarma-therapist-training,ru,Course,panchakarma therapist training,"курс панчакармы в керале, обучение панчакарме","обучение детокс процедурам аюрведы, сертификат терапевта панчакармы",Что такое обучение терапевта Панчакармы?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/panchakarma-therapist-training,"/ru/courses, /ru/contact",SEMrush / supplied research
panchakarma_tech_en,Panchakarma Technician Course,en/courses/panchakarma-technician-course,en,Course,panchakarma technician course,"panchakarma certification, panchakarma therapist certificate","vocational ayurveda training, panchakarma clinical setup, ayurveda technician job placement",How long does a Panchakarma technician course take?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/panchakarma-technician-course,"/en/courses, /en/contact",SEMrush / supplied research
panchakarma_tech_de,Panchakarma Technician Course,de/courses/panchakarma-technician-course,de,Course,panchakarma technician course,"Panchakarma Zertifikat, Ayurveda Techniker Ausbildung","berufliche Ayurveda Fortbildung, Praxisorganisation Panchakarma",Wie lange dauert die Ausbildung zum Panchakarma-Techniker?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/panchakarma-technician-course,"/de/courses, /de/contact",SEMrush / supplied research
panchakarma_tech_fr,Panchakarma Technician Course,fr/courses/panchakarma-technician-course,fr,Course,panchakarma technician course,"certification panchakarma, praticien technique en ayurveda","formation professionnelle ayurveda, assistant clinique panchakarma",Combien de temps prend la formation de technicien en Panchakarma ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/panchakarma-technician-course,"/fr/courses, /fr/contact",SEMrush / supplied research
panchakarma_tech_ar,Panchakarma Technician Course,ar/courses/panchakarma-technician-course,ar,Course,panchakarma technician course,"شهادة فني بانتشاكارما, شهادة معالج بانتشاكارما","التدريب المهني الأيورفيدي, إعداد عيادات البانتشاكارما",كم تستغرق دورة فني البانتشاكارما المعتمدة؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/panchakarma-technician-course,"/ar/courses, /ar/contact",SEMrush / supplied research
panchakarma_tech_ru,Panchakarma Technician Course,ru/courses/panchakarma-technician-course,ru,Course,panchakarma technician course,"сертификат техника панчакармы, обучение ассистента аюрведы","профессиональное обучение панчакарме, трудоустройство велнес терапевтов",Сколько длится курс обучения техника Панчакармы?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/panchakarma-technician-course,"/ru/courses, /ru/contact",SEMrush / supplied research
online_course_en,Online Ayurveda Course,en/courses/online-ayurveda-course,en,Course,ayurveda online course,"online ayurveda certification, ayurveda training online","how to study ayurveda online, self-paced ayurveda classes, ayurveda distance learning certificate",Is online Ayurveda certification available?,kairali guru,Transactional / Commercial / Informational,en,https://kairali.guru/en/courses/online-ayurveda-course,"/en/courses, /en/contact",SEMrush / supplied research
online_course_de,Online Ayurveda Course,de/courses/online-ayurveda-course,de,Course,Ayurveda online lernen,"Ayurveda Online Ausbildung, Ayurveda Fernstudium Zertifikat","Ayurveda Grundkurs online, Selbststudium Ayurveda Theorie",Gibt es eine Online-Zertifizierung in Ayurveda?,kairali guru,Transactional / Commercial / Informational,de,https://kairali.guru/de/courses/online-ayurveda-course,"/de/courses, /de/contact",SEMrush / supplied research
online_course_fr,Online Ayurveda Course,fr/courses/online-ayurveda-course,fr,Course,formation Ayurveda en ligne,"certification ayurveda en ligne, cours ayurveda par internet","apprendre l'ayurveda chez soi, diplôme ayurveda à distance",Une certification d'Ayurveda en ligne est-elle disponible ?,kairali guru,Transactional / Commercial / Informational,fr,https://kairali.guru/fr/courses/online-ayurveda-course,"/fr/courses, /fr/contact",SEMrush / supplied research
online_course_ar,Online Ayurveda Course,ar/courses/online-ayurveda-course,ar,Course,دورة الأيورفيدا عبر الإنترنت,"شهادة الأيورفيدا عبر الإنترنت, تعلم الأيورفيدا عن بعد","كيف تدرس الأيورفيدا أونلاين, دروس الأيورفيدا الذاتية",هل تتوفر شهادات الأيورفيدا المعتمدة عبر الإنترنت؟,كايرالي غورو,Transactional / Commercial / Informational,ar,https://kairali.guru/ar/courses/online-ayurveda-course,"/ar/courses, /ar/contact",SEMrush / supplied research
online_course_ru,Online Ayurveda Course,ru/courses/online-ayurveda-course,ru,Course,курсы аюрведы онлайн,"онлайн обучение аюрведе с сертификатом, дистанционный курс аюрведы","как учить аюрведу онлайн, теоретический курс аюрведы из дома",Доступна ли онлайн-сертификация по Аюрведе?,kairali guru,Transactional / Commercial / Informational,ru,https://kairali.guru/ru/courses/online-ayurveda-course,"/ru/courses, /ru/contact",SEMrush / supplied research
nutrition_course_en,Ayurvedic Nutrition Course,en/courses/ayurvedic-nutrition-course,en,Course,ayurvedic nutrition course,"ayurvedic diet and nutrition certification, ayurvedic nutrition course online","ayurvedic cooking classes, herbs and spices diet therapy, ahora ayurveda dietetics",What is included in an Ayurvedic nutrition course?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/ayurvedic-nutrition-course,"/en/courses, /en/contact",SEMrush / supplied research
nutrition_course_de,Ayurvedic Nutrition Course,de/courses/ayurvedic-nutrition-course,de,Course,ayurvedic nutrition course,"Ayurvedische Ernährungsberater Ausbildung, Ayurveda Ernährung online lernen","Ayurveda Kochkurs Indien, Dosha gerechte Ernährung",Was lernt man in einer Ausbildung für ayurvedische Ernährung?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/ayurvedic-nutrition-course,"/de/courses, /de/contact",SEMrush / supplied research
nutrition_course_fr,Ayurvedic Nutrition Course,fr/courses/ayurvedic-nutrition-course,fr,Course,ayurvedic nutrition course,"certification diététique et nutrition ayurvédique, cours de cuisine ayurvédique","formation alimentation ayurvédique, équilibrer les doshas par l'alimentation",Quel est le programme d'un cours de nutrition ayurvédique ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/ayurvedic-nutrition-course,"/fr/courses, /fr/contact",SEMrush / supplied research
nutrition_course_ar,Ayurvedic Nutrition Course,ar/courses/ayurvedic-nutrition-course,ar,Course,ayurvedic nutrition course,"شهادة التغذية والطهي الأيورفيدي, دورة التغذية الأيورفيدية أونلاين","دروس طبخ الأيورفيدا, العلاج الغذائي بالأعشاب",ما الذي يتضمنه منهج التغذية والطهي الأيورفيدي؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/ayurvedic-nutrition-course,"/ar/courses, /ar/contact",SEMrush / supplied research
nutrition_course_ru,Ayurvedic Nutrition Course,ru/courses/ayurvedic-nutrition-course,ru,Course,ayurvedic nutrition course,"сертификат специалиста по аюрведическому питанию, обучение аюрведической кулинарии","питание по дошам обучение, традиционная аюрведическая диета",Что изучают на курсе аюрведического питания и кулинарии?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/ayurvedic-nutrition-course,"/ru/courses, /ru/contact",SEMrush / supplied research
diploma_en,Diploma in Ayurveda & Panchakarma,en/courses/diploma-in-ayurveda-panchakarma,en,Course,diploma in ayurveda,"diploma in ayurveda therapy, diploma in ayurvedic panchakarma","ayurvedic studies program, long term ayurveda career, ayurvedic practitioner diploma",What is the difference between an Ayurveda certification and a diploma?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/diploma-in-ayurveda-panchakarma,"/en/courses, /en/contact",SEMrush / supplied research
diploma_de,Diploma in Ayurveda & Panchakarma,de/courses/diploma-in-ayurveda-panchakarma,de,Course,diploma in ayurveda,"Diplom Ayurveda Therapeut, Ayurveda Diplomausbildung Indien","Langzeit Ayurveda Ausbildung, klinisches Ayurveda Studium",Was ist der Unterschied zwischen einem Ayurveda-Zertifikat und einem Diplom?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/diploma-in-ayurveda-panchakarma,"/de/courses, /de/contact",SEMrush / supplied research
diploma_fr,Diploma in Ayurveda & Panchakarma,fr/courses/diploma-in-ayurveda-panchakarma,fr,Course,diploma in ayurveda,"diplôme de praticien en ayurveda, diplôme clinique panchakarma","études d'ayurveda à long terme, certification officielle praticien ayurveda",Quelle est la différence entre un certificat en Ayurveda et un diplôme ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/diploma-in-ayurveda-panchakarma,"/fr/courses, /fr/contact",SEMrush / supplied research
